key,name,description,priority
store_info,Store Info,Store information,10
defaults,Defaults,Default settings,20
social_media,Social Media,Settings related to social media.,30
email,Email,Email and SMTP,40
listings,Listings,Settings for the catalog listing,50
customer_details,Customer Details,Settings for the catalog listing,60
legal,Legal,Legal settings and information,70
images,Images,Settings for graphical elements,80
checkout,Checkout,Checkout settings,90
advanced,Advanced,Advanced settings,100
security,Security,Store security and protection against threats,110
